Sitios;Codigo;Tem_agua;Tem_aire;OD;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_total_l_mg_l;Fosf_ortofos_mg_l;DBO_mg_l;DQO_mg_l;Turbiedad_NTU;Hidr_Deriv_Petr_ug_l;Cr_total_mg_l;Cd_total_mg_l;Clorofila_a_ug_l
Ensenada;EN084;26,1;27;1,8;6,2;Ausencia;Ausencia;Ausencia;Presencia;28000;5200;3300;1,9;7,2;0,43;0,32;7,1;29;;0,09;0;0;0,01
Reservas y Puertos;SI022;;23;;;Ausencia;Ausencia;Ausencia;Ausencia;5500;100;650;4,9;0,94;0,28;0,33;1,9;29;14;0,09;0;0;0,01
Reservas y Puertos;SI022;;22;;;Ausencia;Ausencia;Ausencia;Ausencia;6500;200;1700;7,3;0,63;0,27;0,32;1,9;29;17;0,09;0;0;0,01
Costaneras;VL031;;22;;;Ausencia;Ausencia;Ausencia;Ausencia;4200;500;240;5,9;0,41;0,24;0,69;1,9;29;22;0,09;0;0;0,01
Reservas y Puertos;SI022;26,1;;4,8;7,4;Ausencia;Ausencia;Ausencia;Ausencia;1800;1300;10;4,6;1,2;0,24;0,2;;29;22;;0;0;
Costaneras;VL031;25,4;;7,3;7,4;Ausencia;Ausencia;Ausencia;Ausencia;900;700;30;4;0,9;0,33;0,36;11;29;22;;0;0;
Reservas y Puertos;SI022;24,7;;5,6;7,4;Ausencia;Ausencia;Ausencia;Ausencia;1300;600;100;3,1;0,6;0,22;0,2;7;29;35;;0;0;
Reservas y Puertos;SI022;24,7;;8;7,5;Ausencia;Ausencia;Ausencia;Ausencia;400;200;20;5,1;0,5;0,18;0,35;4,9;29;31;;0;0;
Ensenada;EN084;27,37;22;3,63;7,43;Ausencia;Ausencia;Ausencia;Ausencia;2700;2100;350;10;0,05;0,65;0,65;5,2;29;12;0,09;0;0;0,07
Playas;BS091;25,69;22;4,13;7,58;Ausencia;Ausencia;Ausencia;Ausencia;5200;600;180;6,9;0,97;0,42;0,34;5,2;46;22;0,09;0;0;0,02
